PlayerMatch_key,Match_Id,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name,Role_Desc,Player_team,Opposite_Team,Season_year,is_manofThematch,Age_As_on_match,IsPlayers_Team_won,Player_Captain,Opposite_captain,Player_keeper,Opposite_keeper
33598700006,335987,6,R Dravid,1/11/1973,Right-hand bat,Right-arm offbreak,India,Captain,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,35,0,R Dravid,SC Ganguly,MV Boucher,WP Saha
33598700007,335987,7,W Jaffer,2/16/1978,Right-hand bat,Right-arm offbreak,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,30,0,R Dravid,SC Ganguly,MV Boucher,WP Saha
33598700008,335987,8,V Kohli,11/5/1988,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,20,0,R Dravid,SC Ganguly,MV Boucher,WP Saha
33598700009,335987,9,JH Kallis,10/16/1975,Right-hand bat,Right-arm fast-medium,South Africa,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,33,0,R Dravid,SC Ganguly,MV Boucher,WP Saha
33598700010,335987,10,CL White,8/18/1983,Right-hand bat,Legbreak googly,Australia,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,25,0,R Dravid,SC Ganguly,MV Boucher,WP Saha
33598700011,335987,11,MV Boucher,12/3/1976,Right-hand bat,Right-arm medium,South Africa,Keeper,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,32,0,R Dravid,SC Ganguly,MV Boucher,WP Saha
33598700012,335987,12,B Akhil,10/7/1977,Right-hand bat,Right-arm medium-fast,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,31,0,R Dravid,SC Ganguly,MV Boucher,WP Saha
33598700013,335987,13,AA Noffke,4/30/1977,Right-hand bat,Right-arm fast-medium,Australia,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,31,0,R Dravid,SC Ganguly,MV Boucher,WP Saha
33598700014,335987,14,P Kumar,10/2/1986,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,22,0,R Dravid,SC Ganguly,MV Boucher,WP Saha
33598700015,335987,15,Z Khan,10/7/1978,Right-hand bat,Left-arm fast-medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,30,0,R Dravid,SC Ganguly,MV Boucher,WP Saha
33598700016,335987,16,SB Joshi,6/6/1970,Left-hand bat,Slow left-arm orthodox,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,38,0,R Dravid,SC Ganguly,MV Boucher,WP Saha
33598700001,335987,1,SC Ganguly,7/8/1972,Left-hand bat,Right-arm medium,India,Captain,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,36,1,SC Ganguly,R Dravid,WP Saha,MV Boucher
33598700002,335987,2,BB McCullum,9/27/1981,Right-hand bat,Right-arm medium,New Zealand,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,1,27,1,SC Ganguly,R Dravid,WP Saha,MV Boucher
33598700003,335987,3,RT Ponting,12/19/1974,Right-hand bat,Right-arm medium,Australia,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,34,1,SC Ganguly,R Dravid,WP Saha,MV Boucher
33598700004,335987,4,DJ Hussey,7/15/1977,Right-hand bat,Right-arm offbreak,Australia,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,31,1,SC Ganguly,R Dravid,WP Saha,MV Boucher
33598700005,335987,5,Mohammad Hafeez,10/17/1980,Right-hand bat,Right-arm offbreak,Pakistan,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,28,1,SC Ganguly,R Dravid,WP Saha,MV Boucher
33598700062,335987,62,WP Saha,10/24/1984,Right-hand bat,N/A,India,Keeper,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,24,1,SC Ganguly,R Dravid,WP Saha,MV Boucher
33598700063,335987,63,LR Shukla,5/6/1981,Right-hand bat,Right-arm medium,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,27,1,SC Ganguly,R Dravid,WP Saha,MV Boucher
33598700082,335987,82,AB Agarkar,12/4/1977,Right-hand bat,Right-arm fast,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,31,1,SC Ganguly,R Dravid,WP Saha,MV Boucher
33598700083,335987,83,M Kartik,9/11/1976,Left-hand bat,Slow left-arm orthodox,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,32,1,SC Ganguly,R Dravid,WP Saha,MV Boucher
33598700084,335987,84,I Sharma,9/2/1988,Right-hand bat,Right-arm fast-medium,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,20,1,SC Ganguly,R Dravid,WP Saha,MV Boucher
33598700106,335987,106,AB Dinda,3/25/1984,Right-hand bat,Right-arm medium-fast,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,24,1,SC Ganguly,R Dravid,WP Saha,MV Boucher
33598800024,335988,24,K Goel,12/24/1986,Left-hand bat,Right-arm offbreak,India,Player,Kings XI Punjab,Chennai Super Kings,2008,0,22,0,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
33598800025,335988,25,JR Hopes,10/24/1978,Right-hand bat,Right-arm medium,Australia,Player,Kings XI Punjab,Chennai Super Kings,2008,0,30,0,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
33598800026,335988,26,KC Sangakkara,10/27/1977,Left-hand bat,Right-arm offbreak,Sri Lanka,Keeper,Kings XI Punjab,Chennai Super Kings,2008,0,31,0,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
33598800027,335988,27,Yuvraj Singh,12/12/1981,Left-hand bat,Slow left-arm orthodox,India,Captain,Kings XI Punjab,Chennai Super Kings,2008,0,27,0,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
33598800028,335988,28,SM Katich,8/21/1975,Left-hand bat,Slow left-arm chinaman,Australia,Player,Kings XI Punjab,Chennai Super Kings,2008,0,33,0,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
33598800029,335988,29,IK Pathan,10/27/1984,Left-hand bat,Left-arm medium-fast,India,Player,Kings XI Punjab,Chennai Super Kings,2008,0,24,0,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
33598800066,335988,66,B Lee,11/8/1976,Right-hand bat,Right-arm fast,Australia,Player,Kings XI Punjab,Chennai Super Kings,2008,0,32,0,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
33598800067,335988,67,PP Chawla,12/24/1988,Left-hand bat,Legbreak,India,Player,Kings XI Punjab,Chennai Super Kings,2008,0,20,0,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
33598800068,335988,68,WA Mota,9/20/1981,Right-hand bat,Right-arm medium,India,Player,Kings XI Punjab,Chennai Super Kings,2008,0,27,0,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
33598800077,335988,77,S Sreesanth,2/6/1983,Right-hand bat,Right-arm fast-medium,India,Player,Kings XI Punjab,Chennai Super Kings,2008,0,25,0,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
33598800466,335988,466,P Dharmani,9/27/1974,Right-hand bat,N/A,India,Player,Kings XI Punjab,Chennai Super Kings,2008,0,34,0,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
